249750 1000
591 604 17
604 730 88
604 945 49
591 595 80
730 455 34
591 31 20
31 648 42
604 296 89
730 953 37
296 758 34
758 975 46
975 347 64
296 304 92
296 151 71
730 319 14
648 162 22
162 752 56
953 525 21
604 404 30
648 453 56
31 245 13
648 744 46
648 556 86
347 478 15
404 9 42
319 889 81
953 328 33
648 610 4
347 409 88
758 172 86
610 384 18
151 474 93
604 338 97
556 873 97
474 367 5
556 11 84
9 116 72
453 24 10
945 456 87
945 193 94
11 147 38
347 716 96
752 571 36
716 982 62
404 170 96
455 641 92
604 736 69
193 876 69
736 90 0
478 73 73
953 931 81
338 688 40
591 396 97
752 961 97
556 358 90
953 414 84
319 581 89
975 152 53
604 348 93
348 451 43
730 377 18
147 301 46
604 428 89
116 803 63
9 510 45
873 792 7
9 321 19
396 741 51
873 259 16
931 332 84
304 695 20
455 837 33
367 486 7
162 659 27
414 749 33
961 776 53
510 633 48
730 132 87
338 210 51
688 867 23
73 644 34
151 16 17
749 557 1
571 125 96
633 3 80
776 136 87
873 391 57
525 693 49
170 345 18
152 420 3
478 382 32
345 652 30
382 515 70
328 123 75
90 246 32
474 902 81
716 134 16
151 282 31
803 320 38
525 812 6
382 654 20
758 163 57
525 72 88
384 308 53
776 212 65
304 480 80
136 805 44
391 612 55
741 897 77
152 533 60
116 114 80
384 720 69
744 235 54
557 191 53
644 942 74
873 233 71
191 539 57
320 375 89
16 926 72
610 334 85
348 99 3
515 343 94
610 986 42
610 890 35
525 594 94
581 974 39
474 624 100
328 853 9
193 545 81
897 516 50
557 249 27
90 763 99
136 618 80
633 2 1
876 810 21
810 640 72
11 527 26
945 494 37
810 216 24
693 368 37
648 121 62
320 833 99
116 511 64
9 808 12
235 637 35
571 336 88
792 778 48
382 793 76
749 413 39
986 892 4
334 863 66
758 344 10
414 842 87
594 995 26
688 62 80
245 655 63
114 996 23
9 253 89
720 50 49
744 281 54
334 755 73
478 912 15
73 530 98
246 692 67
308 667 6
474 543 98
304 786 99
758 324 8
527 869 79
16 607 36
191 979 91
345 339 27
996 26 39
716 630 66
31 21 23
633 606 44
216 224 22
752 834 24
961 860 0
216 250 10
720 149 81
630 252 91
974 681 19
116 983 68
867 185 88
667 310 89
543 769 0
324 366 50
428 402 30
494 18 58
720 916 25
792 994 60
752 886 91
308 63 50
11 768 5
250 465 62
334 4 44
347 605 14
282 118 19
630 359 10
123 901 18
606 732 76
736 157 27
853 679 48
812 865 25
605 15 46
31 322 76
571 801 9
867 880 12
409 513 17
982 647 33
259 98 13
134 47 91
478 417 82
606 498 79
655 791 74
147 325 23
26 194 94
465 437 30
367 84 96
571 570 91
749 100 91
945 965 37
121 957 23
942 237 97
641 590 45
749 449 28
404 997 53
474 599 33
961 586 2
250 422 20
545 137 12
612 587 82
812 737 76
557 376 6
134 303 78
420 220 71
118 815 35
812 58 78
366 44 48
912 71 31
44 213 47
368 186 64
539 337 97
648 751 13
791 164 4
516 631 80
420 97 27
644 229 56
377 943 84
118 781 88
417 835 65
530 987 96
456 421 44
224 34 67
478 762 95
842 825 30
301 217 97
943 875 57
404 807 12
50 851 65
31 32 55
245 95 6
667 215 58
605 452 7
543 797 81
863 78 64
78 432 93
801 228 3
610 188 16
320 153 87
382 411 43
118 694 98
217 582 95
121 425 31
99 248 15
926 393 15
62 653 17
957 734 31
516 528 48
456 5 17
149 729 8
793 804 68
810 526 75
716 239 30
607 447 75
655 272 21
116 351 91
667 341 85
212 960 35
319 709 100
732 573 31
213 603 15
455 68 58
694 938 97
249 41 61
147 857 65
310 756 4
654 76 64
153 577 93
595 277 36
834 711 59
409 490 88
810 197 55
63 177 53
526 202 10
417 868 9
224 278 25
901 79 54
762 861 28
147 597 57
720 885 68
21 819 18
653 444 59
404 661 28
655 139 89
762 559 95
758 773 56
692 64 30
249 30 56
653 563 97
890 262 82
994 921 16
11 96 11
741 405 99
803 541 99
262 560 90
594 538 11
875 192 25
618 754 69
338 443 63
730 704 2
73 187 9
68 35 46
654 554 35
833 844 93
3 765 91
453 230 52
71 625 17
810 713 33
756 656 37
345 204 45
625 883 49
765 814 93
153 745 68
136 558 10
570 311 13
667 496 96
224 294 61
90 173 100
310 913 30
136 316 32
792 166 66
197 794 7
654 809 43
253 859 86
216 574 86
694 201 3
652 327 19
90 635 22
375 335 31
139 753 80
762 968 93
78 992 63
248 673 28
786 291 26
604 6 18
338 354 40
344 378 33
557 330 45
71 990 6
437 952 85
736 910 34
97 680 56
354 821 82
982 561 38
987 733 26
704 899 24
185 829 7
511 832 52
79 504 28
341 74 6
230 989 54
157 540 84
885 891 32
163 67 5
478 946 15
729 333 15
62 370 56
151 133 0
245 383 49
595 963 100
210 176 65
938 969 6
574 429 82
377 614 93
511 520 64
612 218 75
974 856 48
393 251 30
938 721 28
47 51 79
147 380 67
32 836 9
245 399 57
62 799 86
965 457 75
829 150 99
413 621 2
41 13 71
133 49 89
9 167 58
67 434 54
319 663 53
451 919 15
248 746 69
559 748 32
892 53 44
457 670 87
172 412 46
635 419 18
204 535 95
504 708 92
399 426 5
880 468 47
733 29 54
173 482 87
41 683 42
860 904 86
640 387 3
15 287 13
150 619 22
245 742 19
652 991 4
539 658 94
15 427 26
216 727 56
9 739 89
919 489 78
437 225 53
412 221 51
348 911 76
752 127 60
515 448 7
641 645 64
310 38 63
810 699 28
557 501 40
921 285 23
652 854 0
239 657 11
132 999 94
376 505 89
50 973 76
204 146 59
47 69 39
420 519 86
835 843 67
751 949 86
358 790 83
341 820 74
4 306 72
890 445 24
749 502 12
194 671 33
26 993 82
191 407 75
886 884 44
557 223 46
991 601 70
786 492 42
505 672 89
791 45 23
996 585 36
982 925 16
498 980 47
902 361 18
420 934 29
216 696 43
640 817 17
614 446 43
794 628 20
411 342 13
652 743 60
560 461 93
149 231 5
407 408 90
916 929 83
889 340 30
231 276 73
804 707 3
797 17 86
768 575 80
409 879 57
658 300 55
836 128 81
444 959 47
285 33 52
505 947 54
921 438 51
336 485 77
32 690 70
336 94 38
619 356 31
721 349 50
525 562 43
744 144 11
277 266 75
889 567 33
368 978 91
194 418 47
581 823 74
72 135 28
361 611 61
833 103 14
911 115 23
246 436 17
128 544 56
502 927 43
221 551 62
5 724 87
420 710 61
561 198 83
409 12 2
452 81 88
799 962 16
763 93 70
53 406 85
942 184 39
633 168 98
868 937 54
399 1 50
744 373 74
123 82 17
266 36 20
368 747 32
851 189 92
296 234 42
5 481 82
451 626 73
901 676 10
201 119 70
690 598 10
809 750 52
465 205 39
769 290 15
425 83 36
480 726 55
921 862 91
3 622 4
33 956 5
191 122 93
411 507 90
96 719 57
821 269 35
234 522 9
621 371 11
803 240 88
136 318 76
291 196 62
604 650 93
135 54 86
12 933 77
465 951 18
640 740 60
215 923 14
520 120 36
490 518 13
123 111 27
834 789 31
94 634 8
533 169 4
628 23 57
300 517 96
724 592 5
543 970 81
857 811 4
625 531 26
81 87 24
633 761 63
16 440 97
173 770 27
934 40 34
815 487 7
990 669 75
303 941 34
990 155 68
149 917 23
351 265 95
821 357 82
811 295 33
710 284 30
382 613 45
34 566 46
640 629 98
861 725 61
983 381 23
505 423 12
619 236 77
773 8 74
946 25 2
836 632 32
538 521 70
236 935 63
505 839 42
427 798 54
519 200 44
334 642 61
518 156 16
128 19 28
234 89 17
510 483 62
319 77 14
980 475 48
630 512 36
290 244 80
884 932 63
655 273 12
778 838 42
581 623 52
630 874 39
573 864 45
325 211 3
794 472 60
667 350 44
582 479 71
791 887 29
135 940 87
370 660 80
62 981 0
54 988 19
97 682 37
934 315 81
517 471 86
886 91 77
34 788 45
561 267 62
862 226 28
341 148 76
322 777 74
660 466 82
694 206 55
324 643 58
278 42 82
801 846 38
993 372 98
206 964 37
940 46 73
741 161 54
647 65 55
837 129 51
861 158 79
521 896 81
324 353 38
629 86 78
414 766 1
515 816 19
71 588 23
54 578 97
366 813 1
654 636 85
53 779 59
217 140 36
816 924 93
212 499 50
642 469 33
496 529 82
708 476 99
341 403 49
935 796 26
768 639 40
204 214 21
557 243 84
407 181 46
623 171 77
513 488 30
813 124 37
956 355 96
704 712 20
773 714 67
325 37 38
40 572 15
368 493 40
471 22 27
124 363 59
762 849 31
964 971 90
185 914 78
25 165 39
194 400 76
372 701 59
573 735 48
952 195 85
158 760 19
559 179 1
778 651 9
760 313 83
586 495 29
