124875 1000
738 513 99
738 947 56
513 183 56
513 856 37
947 489 97
513 847 50
856 618 53
513 615 46
847 964 26
947 711 19
847 75 8
847 841 84
618 78 84
711 142 39
711 290 62
78 696 16
615 34 2
947 568 27
841 520 36
489 979 99
615 81 99
696 965 7
75 975 32
965 209 11
615 225 59
965 545 58
225 80 75
979 852 49
78 884 70
738 99 43
975 59 26
615 538 29
975 403 6
489 451 0
852 345 78
545 73 38
78 18 97
99 826 67
568 706 31
826 396 44
142 313 80
711 217 10
615 360 61
852 603 51
884 949 13
965 413 23
706 395 69
975 28 59
513 389 88
225 468 47
209 578 49
513 242 28
28 298 57
80 490 76
18 235 23
395 942 78
884 994 31
538 990 69
451 381 14
615 76 25
18 326 38
513 803 73
75 619 3
413 655 14
618 190 44
603 32 51
190 127 19
217 279 4
884 226 69
965 49 100
545 746 49
603 167 28
803 855 0
711 9 80
75 140 49
49 297 34
578 931 37
183 744 73
826 821 4
127 56 31
711 229 69
520 559 31
855 613 4
345 204 81
99 337 93
559 57 30
34 44 75
78 781 95
965 432 77
990 933 27
803 306 92
32 806 60
76 703 88
884 402 89
229 378 70
821 753 8
490 741 10
613 596 32
229 386 39
217 472 62
538 12 28
806 808 46
167 817 28
242 521 23
979 262 50
76 40 50
76 7 49
619 528 54
413 849 91
803 147 43
402 65 61
849 687 94
386 421 72
744 533 89
49 725 30
389 311 87
73 729 2
826 695 90
402 834 56
513 970 61
40 583 67
568 755 32
78 325 7
841 26 50
520 690 49
421 617 2
73 740 59
337 875 1
738 642 64
44 265 14
578 61 35
489 878 6
80 245 27
746 257 68
378 831 14
613 157 99
298 798 10
990 234 2
798 134 20
403 171 38
81 763 73
386 946 98
396 756 41
56 284 72
615 223 2
970 557 94
311 399 50
389 355 26
990 104 66
345 590 81
603 275 96
753 914 96
706 993 79
183 785 33
545 951 84
975 260 23
931 13 26
311 394 32
76 497 28
313 877 89
817 417 51
578 442 37
399 720 7
257 967 4
57 328 59
313 210 41
257 758 36
472 103 95
399 304 40
559 182 45
852 957 22
990 227 87
313 611 94
140 422 76
18 549 70
40 609 83
183 401 16
618 495 33
34 682 71
513 463 38
841 145 57
557 526 6
245 329 81
526 92 30
994 508 49
386 820 29
965 38 1
696 865 10
942 161 55
9 321 7
147 742 72
297 910 74
49 219 38
78 586 75
834 900 68
931 866 13
226 111 67
34 788 13
711 662 72
931 302 13
142 780 39
402 474 74
788 116 59
642 128 19
557 514 36
865 548 31
157 25 64
946 906 27
219 562 81
746 702 28
798 133 25
157 300 90
217 441 96
613 924 89
468 534 15
951 427 83
965 23 88
865 867 49
134 50 65
451 734 58
568 200 72
304 130 52
781 608 84
559 119 54
586 388 91
463 830 34
830 108 11
690 645 82
183 972 81
61 601 12
534 574 75
841 552 78
61 479 80
613 777 60
217 291 92
711 318 69
526 435 99
711 188 42
900 981 4
56 598 18
328 905 99
645 532 50
190 883 82
742 488 63
821 211 59
866 415 93
690 208 25
711 357 94
210 636 43
906 1 24
993 623 72
623 74 69
965 20 52
690 154 47
613 810 99
116 631 16
820 960 37
127 948 90
497 652 34
820 550 28
56 486 0
834 567 12
994 554 63
157 199 49
328 324 50
99 16 75
140 264 100
92 796 41
849 664 4
167 113 48
780 93 85
395 410 11
905 156 72
965 466 96
226 986 6
557 772 51
313 593 5
217 335 2
298 39 73
7 164 77
304 362 61
262 589 64
427 721 99
328 285 81
601 577 52
74 97 99
291 612 64
711 307 51
612 55 42
796 243 99
74 896 8
826 846 58
395 825 46
949 782 96
80 876 2
61 579 17
615 129 40
946 575 18
490 671 75
290 218 42
171 911 53
396 560 58
948 839 57
559 728 35
831 269 75
290 409 80
847 64 33
50 857 10
297 602 80
865 709 12
990 582 49
474 241 99
534 66 12
636 787 15
623 146 97
188 454 39
97 997 100
474 58 59
798 407 54
427 301 99
454 439 9
875 873 76
906 935 17
883 511 74
427 815 38
611 433 83
711 666 60
396 446 4
167 880 13
949 941 79
357 569 93
410 816 66
753 500 74
511 572 75
575 15 35
578 252 65
435 72 32
395 280 58
204 2 60
285 708 18
2 251 34
567 437 27
78 982 79
725 686 83
7 344 62
763 932 95
884 622 48
108 230 32
15 96 11
307 927 75
479 186 16
951 795 88
532 637 82
900 625 67
140 315 99
666 216 10
997 185 95
702 423 87
230 353 51
806 524 12
1 339 74
702 162 76
520 418 35
550 348 55
593 864 88
304 233 54
7 870 62
185 893 67
61 968 56
756 419 48
15 295 10
951 319 61
686 11 99
7 181 11
878 414 64
451 749 94
23 842 10
979 588 81
130 263 48
44 714 69
183 599 84
951 137 26
38 132 48
619 46 57
59 327 97
896 143 45
80 751 97
941 925 60
328 736 57
113 267 98
146 679 1
751 765 94
311 294 94
590 62 92
583 273 16
602 750 74
924 333 88
13 107 23
569 954 97
911 358 48
298 94 1
534 627 37
407 901 57
622 651 97
967 165 45
9 832 66
134 308 57
575 684 14
72 862 2
932 767 31
855 443 56
25 929 30
575 934 4
538 368 3
568 844 100
300 408 88
107 850 63
235 700 17
588 424 20
241 416 8
199 68 5
439 614 9
986 480 85
486 992 71
130 334 39
884 723 99
61 91 2
140 385 9
559 995 40
