30813 250
144 168 38
144 159 71
168 239 69
144 121 48
121 39 77
168 158 15
144 154 50
168 176 30
159 218 8
176 40 33
158 120 27
218 113 78
120 74 14
113 197 54
197 86 72
121 13 64
40 152 56
121 244 89
244 204 29
168 35 38
168 90 52
218 119 21
159 171 88
218 64 72
176 81 41
90 14 90
64 146 54
204 241 18
158 11 64
244 220 8
241 175 34
90 139 52
171 77 51
35 33 45
119 80 53
120 228 52
14 68 73
220 203 2
39 230 0
228 189 21
90 165 24
113 205 96
165 85 65
158 15 74
74 12 43
80 95 40
90 243 20
189 174 87
165 248 80
33 57 11
33 196 84
81 104 17
204 229 100
12 242 17
77 83 54
239 155 26
243 26 30
119 194 79
229 70 83
139 211 4
152 60 82
229 16 12
197 1 63
204 4 96
80 123 61
121 97 62
171 101 63
228 9 70
218 108 1
68 224 100
26 167 0
95 227 62
80 180 65
180 103 24
144 183 25
4 141 41
168 111 91
218 221 57
83 94 96
165 27 40
194 92 82
64 54 47
40 117 99
120 8 3
68 235 93
229 237 32
152 129 77
90 102 71
104 7 32
152 96 26
4 89 9
230 160 49
108 132 54
26 46 85
197 28 10
239 98 79
113 130 10
89 214 30
33 109 32
160 47 2
39 125 7
204 25 35
194 190 0
103 226 33
92 76 65
155 6 3
90 156 71
81 55 72
221 38 57
228 136 95
83 188 20
76 67 54
14 177 47
125 45 9
218 51 46
109 31 9
154 148 68
248 200 66
108 48 55
183 143 83
45 142 77
214 210 4
144 163 46
152 78 74
54 43 48
104 182 55
221 58 88
197 17 49
244 63 38
241 217 88
211 23 40
12 2 73
38 82 38
108 170 76
63 181 16
35 21 17
152 134 40
101 206 6
136 191 10
11 232 80
144 150 90
132 69 85
120 71 51
55 24 48
7 207 23
155 126 83
40 84 51
211 233 64
189 140 47
227 42 30
119 93 83
191 219 34
25 73 0
71 166 77
25 124 65
168 178 23
104 122 38
175 20 43
235 195 84
241 131 33
120 72 82
96 5 0
102 87 40
9 192 75
82 213 23
55 184 35
27 198 40
95 164 5
129 153 10
148 169 51
152 88 31
153 37 85
165 99 62
12 236 5
218 209 43
156 52 47
121 149 42
89 115 14
97 50 76
214 133 42
93 179 77
23 216 68
47 41 28
46 157 79
219 172 80
120 246 53
220 238 87
235 173 96
214 116 48
156 53 20
149 62 44
7 245 22
183 137 33
170 127 72
213 56 66
35 249 36
244 199 94
129 36 36
204 128 67
140 10 13
122 234 9
227 30 58
85 100 77
43 187 54
229 135 4
109 49 18
146 147 20
122 107 30
179 66 67
133 59 13
132 19 2
80 114 18
100 44 91
156 145 25
137 202 22
1 32 93
103 162 9
143 34 14
202 186 97
93 22 68
210 222 1
13 3 9
67 65 54
153 212 14
182 91 36
93 201 63
149 208 18
66 61 38
221 105 75
90 215 44
236 225 95
200 75 91
122 231 47
21 240 73
217 18 26
228 118 9
192 185 41
240 112 10
241 247 11
88 193 97
49 223 25
133 79 43
149 151 73
35 161 50
66 106 65
113 110 38
182 29 21
121 138 40
64 0 13
73 234 4
23 137 77
35 107 52
78 189 90
236 243 88
112 232 64
48 92 9
125 173 39
2 160 7
54 139 89
29 58 11
194 249 31
32 151 65
56 232 55
29 45 28
29 64 10
59 207 22
44 245 63
78 213 38
141 224 22
167 179 99
83 150 57
76 185 78
76 181 92
43 148 13
147 202 83
8 208 39
139 233 98
167 189 79
51 95 36
177 200 54
50 220 84
77 241 58
186 217 93
65 171 70
113 169 38
166 207 81
97 207 1
6 131 11
17 94 29
31 131 78
107 202 19
29 114 51
49 242 53
54 103 51
126 184 43
107 196 57
24 46 24
20 36 9
228 230 52
93 202 89
89 149 16
115 242 82
131 237 12
125 157 97
24 81 81
169 227 24
60 222 15
118 210 100
49 94 1
75 175 70
27 54 22
72 154 72
74 221 26
114 181 14
45 50 90
183 227 99
30 153 42
86 201 90
129 231 65
119 184 15
122 210 50
30 193 46
125 216 100
145 206 59
152 176 39
47 111 26
21 43 74
15 238 63
77 201 0
108 221 17
56 149 69
52 192 30
182 189 98
134 166 17
104 160 24
85 123 60
178 247 53
192 202 76
100 229 79
144 191 51
46 121 54
1 244 82
82 141 69
49 143 96
48 187 72
94 220 50
110 132 85
173 193 89
105 170 39
120 164 53
136 203 34
134 239 17
54 90 100
127 237 11
157 249 83
84 207 91
105 109 82
27 43 79
166 239 46
76 160 83
49 83 55
156 223 30
36 110 41
17 62 5
2 234 37
122 199 19
170 194 98
14 113 16
68 156 11
21 100 92
21 62 90
2 238 99
126 208 32
105 122 87
21 81 2
159 221 50
76 231 79
5 248 31
54 97 67
99 138 80
25 67 79
105 238 61
28 77 5
51 147 64
90 170 13
68 197 63
36 140 28
37 174 50
14 65 22
70 88 27
99 104 93
91 237 0
138 169 5
109 118 45
7 19 12
34 55 14
8 228 31
125 249 95
26 129 80
74 247 98
70 119 97
187 237 91
66 211 71
7 226 77
105 191 70
171 244 30
38 93 63
144 181 85
53 224 54
138 171 21
172 220 5
16 18 24
52 226 99
206 228 16
176 186 0
64 232 4
155 174 81
146 181 48
87 92 21
8 36 81
4 136 89
100 209 39
86 193 7
21 114 6
72 190 43
107 170 66
46 185 51
5 79 60
26 206 87
37 198 13
177 197 77
123 225 66
63 177 85
87 220 90
116 188 61
49 150 19
100 180 5
95 238 15
92 135 29
1 84 80
124 200 3
2 133 51
9 133 84
38 144 84
34 219 0
34 49 76
1 97 67
166 199 51
4 248 52
154 216 98
4 234 28
114 125 61
10 242 50
39 212 15
61 211 37
138 204 89
70 176 68
32 35 21
219 221 65
68 227 29
125 177 68
90 112 32
130 194 2
35 84 40
107 156 78
144 192 58
13 168 40
52 146 89
54 134 67
19 235 25
22 91 37
35 167 5
72 74 37
37 199 51
3 41 52
34 201 26
9 188 64
228 238 80
20 149 34
9 38 80
182 246 77
158 177 11
156 170 27
129 183 81
30 175 16
62 189 0
26 86 56
66 162 36
155 193 61
105 140 0
97 109 40
165 217 70
157 168 99
18 93 67
6 236 100
28 219 59
30 155 77
43 200 87
121 133 65
62 137 58
76 77 18
114 201 27
8 83 28
56 144 99
124 149 57
89 173 85
15 36 53
73 128 34
25 228 10
33 221 17
32 180 49
214 224 88
125 235 14
83 222 51
35 178 5
75 203 54
48 216 85
206 222 68
25 196 86
205 231 58
63 70 15
29 131 2
23 152 15
17 36 76
58 115 34
90 145 15
8 10 36
21 82 89
108 236 43
56 204 19
83 118 9
204 234 11
8 164 43
58 240 17
8 64 1
23 64 32
45 56 54
95 248 64
81 167 70
8 242 30
70 213 20
36 60 90
15 223 17
182 234 1
125 147 16
59 226 52
9 177 51
44 138 92
20 182 47
8 87 83
71 145 98
19 113 92
77 147 7
75 121 19
131 204 69
78 81 82
78 226 50
64 78 81
201 229 6
54 190 2
27 196 78
53 146 53
51 142 8
136 215 92
92 206 18
185 207 70
47 158 60
20 214 40
8 174 76
111 170 70
98 240 40
26 160 18
13 111 55
85 127 24
2 46 3
111 139 28
25 197 62
175 212 22
38 188 12
32 221 10
18 60 9
12 73 63
140 226 8
65 170 90
196 223 10
119 243 38
43 189 47
225 239 84
61 168 12
96 188 87
29 87 6
146 200 38
115 246 61
19 123 16
77 113 99
27 167 55
24 220 54
192 240 53
171 237 74
34 107 45
56 243 33
71 248 47
8 168 99
10 111 22
36 199 16
194 222 2
23 133 18
68 176 10
153 248 4
131 203 18
20 101 20
101 207 77
44 136 78
32 227 87
4 127 73
109 141 88
213 219 54
208 210 0
94 119 68
23 232 52
83 121 50
4 161 56
112 213 30
73 110 34
55 76 40
31 123 24
213 236 23
155 213 70
7 86 9
38 139 76
30 210 74
7 185 59
140 232 48
63 116 88
85 209 80
83 238 61
120 137 88
137 147 69
135 227 67
54 61 70
155 247 83
73 77 90
171 215 22
92 149 84
26 144 10
130 234 90
234 245 33
61 248 76
67 157 34
161 216 0
90 101 10
206 241 55
89 199 45
107 125 80
141 222 20
140 191 80
29 138 57
89 143 47
26 74 37
117 155 95
79 155 26
20 76 15
14 222 99
140 187 13
141 246 38
50 162 37
77 99 29
2 247 45
99 100 46
161 165 68
108 184 99
126 169 63
204 245 59
135 218 28
81 117 74
8 240 24
40 244 57
53 135 77
136 170 27
26 137 68
57 181 43
50 222 93
61 216 16
24 100 100
163 226 51
69 73 30
112 139 96
61 154 47
215 234 41
104 193 49
118 226 0
31 76 81
47 217 98
146 173 1
128 233 61
61 81 47
84 249 61
225 242 83
30 105 45
85 117 30
43 164 66
73 149 77
10 77 44
209 219 71
56 113 3
5 45 49
25 182 57
192 227 88
66 146 55
52 97 21
58 191 26
102 118 46
60 72 59
141 191 13
54 239 41
174 196 46
172 211 72
65 141 22
0 25 85
98 114 91
61 241 38
34 40 96
4 137 53
121 126 86
27 50 40
41 242 76
10 190 54
11 88 59
189 207 44
172 175 41
12 83 56
12 176 12
88 212 75
49 128 75
56 218 80
102 104 78
75 222 79
22 172 24
193 220 3
20 136 38
17 76 71
144 212 4
146 223 78
30 37 19
35 122 3
49 77 12
218 241 80
38 236 96
11 125 89
65 192 71
132 192 82
84 136 75
128 166 84
34 66 78
175 179 31
77 124 37
126 207 1
43 80 47
147 173 62
47 210 97
65 212 85
35 199 91
84 116 36
16 201 21
6 176 24
65 90 61
129 160 37
8 67 76
0 220 10
4 207 26
101 227 34
48 232 56
96 147 31
70 216 9
101 136 50
197 211 52
227 228 99
74 100 8
7 176 94
69 220 51
19 63 97
9 117 6
33 224 5
10 138 61
71 128 19
147 246 84
167 173 76
54 197 47
47 209 93
135 171 96
28 64 6
184 200 21
42 193 80
2 57 59
56 242 40
95 100 77
97 101 55
97 211 92
21 140 1
104 141 19
225 247 7
85 86 68
69 94 15
25 65 49
44 177 74
46 193 99
4 179 2
5 241 19
73 137 51
19 122 81
5 239 92
112 217 50
81 111 43
98 160 50
11 136 34
81 169 88
128 152 14
80 111 86
71 237 70
135 197 12
71 79 59
9 234 53
135 224 76
69 140 73
25 131 94
28 33 20
109 119 98
10 198 40
57 195 96
81 147 73
34 89 42
85 191 96
187 233 33
0 235 40
5 150 36
57 110 28
32 117 66
91 203 46
188 197 74
40 87 64
41 218 49
41 185 27
43 214 11
74 230 49
13 204 78
117 191 51
117 183 39
96 126 59
51 73 35
233 237 45
14 104 27
56 224 19
226 232 32
212 224 13
111 179 89
134 145 71
2 194 57
101 132 52
213 220 37
78 146 60
69 240 62
21 180 75
90 246 41
66 224 7
70 218 53
9 227 21
12 30 7
33 63 30
21 107 0
163 216 36
204 224 15
53 248 94
2 182 22
99 196 3
21 77 15
196 227 6
59 246 4
24 231 36
209 234 47
241 242 82
163 185 36
36 234 39
5 27 77
60 149 69
23 26 35
36 192 75
28 191 26
31 87 28
18 157 95
124 248 40
12 230 22
62 106 25
114 147 38
91 150 63
125 208 33
31 198 80
117 136 6
76 189 20
54 69 15
72 97 49
19 33 48
67 203 31
7 63 90
1 5 73
66 107 58
16 80 21
46 242 85
121 207 42
101 117 30
12 182 59
183 237 13
51 141 2
107 178 50
65 230 67
224 234 89
17 99 48
214 242 12
19 91 45
6 105 12
148 233 67
202 220 50
71 206 52
35 129 66
54 106 41
182 222 44
105 190 18
1 240 91
166 208 64
92 133 14
28 88 44
83 109 92
5 123 32
1 150 81
83 110 37
31 148 68
186 222 88
31 101 94
97 224 39
31 120 10
9 37 50
20 193 67
23 157 70
66 84 42
37 72 52
67 121 18
78 192 91
26 43 9
18 66 65
160 177 16
106 110 93
20 178 3
128 170 42
50 56 65
207 239 11
82 197 92
53 208 45
91 207 35
114 141 16
118 141 16
111 164 64
7 79 63
56 223 76
11 128 12
15 30 83
50 101 53
170 232 50
111 189 55
70 215 34
49 53 68
136 151 95
197 231 9
25 222 32
72 182 27
63 193 18
3 236 99
2 59 11
69 77 63
