4900 100
16 26 59
26 82 50
26 23 36
16 49 6
82 58 60
49 18 86
16 17 57
26 61 19
49 3 63
16 86 85
26 34 98
58 52 32
49 71 28
23 45 100
82 92 57
49 28 82
52 97 14
26 7 82
17 67 24
26 38 55
17 84 88
82 98 1
98 39 62
98 48 54
82 77 42
82 9 81
45 4 37
86 89 16
28 11 67
26 15 20
4 66 7
9 32 15
17 12 59
98 13 48
17 50 31
28 41 36
12 22 4
61 8 95
77 33 86
52 68 88
23 64 10
82 73 60
15 88 58
11 43 62
28 59 33
73 96 62
33 76 46
43 14 22
71 90 86
88 91 49
13 0 62
67 75 75
4 24 4
68 78 64
77 37 93
23 55 0
76 57 49
66 6 100
23 20 72
23 85 13
92 27 69
32 19 72
18 5 33
71 74 60
37 44 28
98 56 83
64 53 36
11 94 49
23 60 39
33 51 92
74 79 27
57 99 98
94 80 2
20 87 32
74 35 78
57 30 69
76 1 26
1 62 68
51 81 66
24 69 3
48 46 25
82 40 24
17 10 35
4 25 80
98 93 82
88 21 45
41 29 8
8 65 95
81 31 25
74 42 93
15 47 48
71 63 71
61 83 63
34 70 81
26 2 15
51 36 64
32 72 38
71 95 21
38 54 73
25 63 38
23 59 46
13 57 67
14 75 20
41 95 69
37 78 42
74 95 76
4 23 85
51 59 90
16 44 50
21 61 18
30 38 83
54 84 94
1 99 24
29 65 12
53 78 86
13 35 42
78 94 11
66 96 12
74 78 68
28 54 31
74 99 88
5 89 19
1 35 49
17 64 55
35 89 48
17 60 39
61 95 96
9 46 67
25 73 29
84 94 7
48 93 62
37 92 5
14 34 15
59 87 9
3 36 20
36 96 84
83 91 77
1 88 40
57 90 62
36 54 46
5 14 46
47 86 41
16 83 59
11 37 93
15 74 87
52 93 9
44 70 24
43 84 99
71 81 99
15 46 31
1 63 99
22 36 73
12 24 67
54 96 11
60 79 82
85 95 89
31 62 8
3 80 87
37 87 78
25 62 54
15 53 48
24 76 28
18 83 14
31 71 47
24 73 36
1 13 28
9 52 1
6 43 84
62 77 33
72 83 86
0 53 50
48 55 91
4 50 52
22 62 16
50 51 94
16 95 87
2 18 23
72 94 47
67 97 84
1 11 63
22 35 78
19 92 7
5 41 86
5 87 78
41 52 81
3 16 29
17 59 71
13 42 4
16 59 42
44 75 45
63 70 45
36 53 31
83 95 99
64 85 68
5 78 74
26 73 75
31 84 70
8 10 43
28 94 50
17 99 17
38 56 61
7 17 62
27 38 39
6 73 47
10 88 1
35 87 14
15 33 78
28 43 27
9 57 57
20 52 58
39 87 4
45 87 64
13 52 74
12 68 5
83 98 84
50 91 38
59 69 11
51 79 30
0 76 21
54 71 39
41 78 85
7 54 23
13 76 11
27 44 22
18 98 77
84 91 57
46 81 93
2 32 15
36 74 66
23 30 41
45 98 77
18 85 99
64 65 66
16 39 43
71 77 11
3 15 28
37 54 85
28 93 22
45 94 85
49 57 21
20 24 70
64 67 3
10 68 41
76 94 62
5 50 63
9 85 48
48 83 79
37 59 63
49 78 86
63 65 36
34 44 33
80 95 18
21 22 77
33 67 11
13 21 12
58 98 75
8 88 65
4 93 13
31 96 83
10 63 92
27 48 43
87 97 86
10 34 32
11 74 25
1 78 74
52 79 100
32 35 58
47 50 8
23 84 1
3 59 7
75 88 59
48 54 96
36 41 68
34 88 71
37 98 68
58 62 46
4 15 99
17 92 60
36 98 71
38 91 36
15 81 65
36 94 14
39 60 49
49 92 5
48 99 55
27 36 92
7 43 81
84 95 76
19 30 29
71 98 98
3 77 3
30 63 44
37 50 77
3 45 46
77 84 88
37 83 34
65 94 95
58 83 93
44 96 1
27 57 28
42 75 92
14 31 79
17 49 78
34 67 76
70 94 75
86 92 63
3 75 79
15 87 83
79 92 22
49 50 85
31 83 24
4 36 70
3 30 54
6 84 75
6 79 51
2 65 80
49 82 34
32 46 79
24 92 75
79 88 28
20 72 64
46 69 38
3 26 0
1 9 8
25 41 72
54 78 75
36 89 97
46 83 20
39 94 1
42 80 40
40 69 18
25 79 58
72 75 44
73 85 25
22 47 23
59 94 74
52 54 51
89 90 6
21 47 50
39 49 93
25 94 80
15 16 81
25 60 24
71 94 81
14 76 47
44 76 43
48 59 51
30 71 23
51 91 1
15 85 10
22 44 59
24 31 96
19 66 75
79 82 16
40 93 66
46 59 54
22 29 17
12 91 51
37 57 3
50 89 11
18 20 16
42 59 17
41 71 49
3 7 22
80 97 37
14 29 78
13 43 50
29 76 90
13 47 11
35 97 44
25 51 33
34 90 83
0 50 20
36 49 1
32 62 20
20 89 9
68 83 89
66 76 19
49 61 92
52 75 25
62 96 55
43 79 24
55 73 100
46 66 12
31 57 96
2 70 39
17 89 76
37 80 47
23 36 77
38 66 39
50 52 7
43 53 3
82 90 98
31 58 42
62 64 92
30 40 21
41 54 1
50 76 7
21 65 45
63 79 90
19 86 98
76 77 56
2 71 50
27 85 47
69 85 40
13 73 80
30 72 29
25 28 10
1 58 0
75 94 41
35 64 63
30 98 11
17 87 45
42 83 67
32 73 99
2 79 18
20 71 70
15 82 42
31 36 37
95 99 50
76 81 19
35 46 26
12 47 87
26 32 27
20 44 99
31 95 36
68 84 57
23 71 68
16 37 28
15 94 84
40 41 63
19 55 36
28 31 11
50 67 33
10 83 68
19 41 76
63 66 97
8 91 54
30 84 59
30 81 86
11 51 29
11 91 31
56 80 12
55 61 51
7 78 66
36 45 62
0 93 72
13 15 72
7 47 36
28 85 77
40 89 97
83 87 2
4 40 78
19 74 99
54 99 44
41 98 32
62 66 33
70 96 75
9 37 95
22 52 47
29 64 28
34 71 82
46 47 84
78 81 78
14 80 25
47 97 13
43 66 47
20 94 25
9 98 91
14 87 19
26 74 6
13 87 64
20 31 33
14 18 47
20 42 27
11 65 91
69 82 50
24 87 95
72 77 61
2 45 31
20 90 8
15 72 35
3 29 55
29 97 86
15 79 64
30 90 47
65 95 15
1 26 92
10 77 50
42 72 75
10 62 41
51 63 73
14 46 23
82 97 85
13 48 44
36 63 1
28 60 100
26 36 11
34 73 69
78 84 40
46 74 98
50 90 61
68 93 14
64 91 93
58 75 24
5 66 11
75 77 100
11 32 8
40 62 86
65 74 11
18 19 40
50 78 21
41 57 41
62 90 53
18 62 56
46 57 16
9 81 40
31 46 6
81 83 79
30 50 66
47 76 42
81 84 62
54 97 36
65 70 30
3 4 8
46 88 84
34 38 75
35 68 60
16 51 9
40 78 88
49 62 54
43 55 54
15 99 45
79 81 33
27 41 37
15 55 64
36 60 8
23 97 20
15 45 49
25 56 98
54 75 37
23 25 48
1 18 45
30 66 75
15 75 67
11 82 10
94 97 5
27 94 97
25 37 48
43 54 87
37 40 76
58 78 86
10 25 69
13 85 2
10 15 83
62 85 24
28 32 84
66 70 47
90 94 34
67 76 88
7 34 82
13 44 60
55 62 4
8 51 38
82 86 73
76 89 67
63 67 74
88 90 74
20 85 92
5 43 73
6 90 65
27 97 6
5 35 95
23 38 7
30 34 25
10 61 13
15 62 56
8 78 33
43 51 87
34 76 13
27 86 33
1 10 61
60 83 83
26 98 12
47 63 94
41 64 25
36 82 20
37 90 43
19 75 91
11 53 48
4 67 38
17 73 88
10 75 38
61 94 94
48 92 97
21 68 35
4 37 13
62 81 74
77 98 74
54 69 19
37 43 66
22 92 77
3 24 49
38 89 22
15 73 60
42 87 87
13 19 90
49 60 11
30 80 96
17 19 61
0 97 93
85 93 54
36 61 42
36 90 96
82 95 43
53 98 37
37 56 90
9 63 90
39 43 70
24 28 88
35 69 84
65 87 67
86 95 22
85 98 97
4 29 52
62 78 67
44 78 70
1 14 58
35 77 61
34 53 41
67 72 26
65 91 16
53 95 2
11 23 27
66 86 56
67 91 69
7 79 36
3 78 91
21 98 22
55 85 88
25 77 48
64 78 15
5 58 0
2 34 25
83 99 7
3 62 67
63 99 58
24 62 93
73 88 95
22 25 15
9 18 13
60 65 98
17 58 11
13 72 55
7 48 83
57 82 0
4 34 44
14 74 46
69 84 34
92 96 41
45 74 70
59 60 33
11 17 14
68 94 31
3 64 16
58 89 50
24 52 67
18 52 60
31 42 14
7 10 37
16 46 38
32 34 85
22 80 9
33 53 11
20 40 9
45 80 94
51 66 27
12 75 83
9 70 58
53 73 25
17 63 40
58 63 94
36 46 55
16 92 27
46 58 34
