278066 750
47 740 72
740 576 48
576 81 34
47 338 67
81 335 72
335 173 51
576 724 18
335 405 76
173 492 64
338 246 71
492 608 71
246 208 72
338 213 35
608 16 80
338 395 31
405 129 49
576 598 87
213 373 45
576 749 0
335 593 78
47 451 23
47 366 76
395 421 100
246 125 19
492 209 2
338 119 69
208 498 53
366 367 40
208 302 64
451 624 93
740 371 64
367 393 89
724 507 20
129 443 53
405 192 80
451 519 21
246 131 83
125 590 84
405 346 8
131 64 8
125 700 66
371 456 53
456 316 73
405 714 26
749 231 3
593 630 90
590 533 21
81 477 35
302 672 74
740 186 10
316 116 10
64 603 75
598 417 18
417 654 88
208 581 77
672 303 65
393 361 86
593 315 92
373 301 7
492 80 21
507 106 60
301 92 16
231 235 14
47 193 55
395 727 80
116 101 73
366 183 84
593 258 98
335 513 64
654 167 34
106 612 25
338 615 77
593 639 82
81 180 10
451 220 37
714 668 58
672 107 86
615 743 16
302 370 89
451 93 80
624 437 68
395 217 27
116 76 2
193 745 9
745 684 66
727 599 33
192 342 64
668 179 8
749 62 53
208 41 60
395 741 39
342 113 64
338 528 74
246 250 26
727 289 75
217 524 84
624 74 13
213 424 42
533 350 13
106 214 1
217 628 66
700 332 57
370 595 5
370 46 78
361 244 80
745 547 31
370 146 97
101 600 26
395 201 54
235 646 34
437 314 7
192 476 93
244 171 53
498 261 10
183 123 34
740 160 52
16 115 42
217 446 32
451 648 34
244 614 82
519 296 73
193 652 22
615 655 4
668 494 28
612 22 7
80 663 7
628 561 97
446 482 52
186 341 40
129 502 55
171 43 91
477 610 28
346 109 34
125 518 25
655 202 49
451 300 15
235 155 96
74 287 66
250 517 82
417 312 6
593 157 99
193 184 2
338 66 16
113 343 37
201 392 18
289 331 49
16 143 24
261 290 15
477 318 75
599 104 77
373 130 73
66 728 0
107 40 32
171 651 5
576 94 15
714 420 85
167 487 31
395 412 9
202 703 68
740 445 83
116 28 68
517 215 68
179 96 91
608 434 94
261 227 32
22 271 50
302 439 70
96 656 38
171 453 62
184 133 84
343 480 68
246 132 42
314 526 12
727 197 93
214 355 65
250 402 35
167 491 12
123 95 86
332 275 39
301 569 93
119 541 39
749 469 98
66 226 40
93 98 14
648 329 74
439 311 98
220 218 10
201 729 24
393 353 32
343 485 38
370 147 79
146 21 91
133 210 8
451 585 95
129 5 100
749 730 44
361 694 63
373 44 10
167 657 46
44 372 83
186 530 27
183 436 69
569 49 54
729 734 11
171 418 48
119 177 95
639 304 54
133 471 28
300 623 84
275 732 40
304 435 100
46 17 44
740 397 33
341 189 74
201 506 63
303 381 48
526 279 72
109 414 7
146 512 86
147 629 78
740 409 96
258 671 97
593 627 25
261 178 57
329 61 39
287 681 66
341 196 8
366 574 83
335 294 20
439 735 69
296 640 80
610 103 13
414 708 99
734 30 40
654 403 85
226 508 55
446 117 75
98 552 55
22 0 84
508 187 63
147 68 17
533 110 35
576 432 48
129 689 31
629 158 62
663 253 50
125 344 71
630 645 11
208 573 100
202 369 17
192 359 94
155 309 5
573 675 90
74 12 78
226 742 75
366 69 9
437 159 100
477 176 61
420 474 11
43 686 60
246 688 4
30 489 50
599 463 7
608 731 44
657 224 81
123 380 26
46 248 40
477 11 24
342 252 41
530 24 55
311 245 19
132 399 92
399 565 45
730 567 80
489 56 0
300 42 3
418 154 92
443 633 59
338 696 93
178 523 62
143 89 54
654 584 2
569 682 85
304 744 4
184 195 49
731 256 84
180 221 58
477 553 4
420 534 8
508 264 79
287 79 0
304 383 92
42 488 9
688 358 8
69 554 99
202 570 98
202 641 97
117 479 36
749 233 73
147 687 75
303 330 32
476 19 74
95 531 11
61 701 82
476 543 7
107 620 69
405 390 54
79 354 73
98 7 84
189 293 51
343 472 28
417 348 39
479 438 45
69 455 92
146 467 85
531 674 7
24 240 52
502 84 84
294 322 96
329 460 13
95 720 60
160 535 97
732 563 14
252 327 49
167 374 25
438 542 5
657 642 74
614 459 74
513 4 44
329 428 54
743 499 8
240 317 94
720 427 24
303 583 11
61 559 42
359 323 61
553 55 2
393 199 93
463 549 74
327 377 95
279 483 29
300 241 97
395 54 67
84 144 28
316 746 32
178 90 47
519 425 94
740 702 52
728 276 12
183 525 55
629 738 84
187 237 53
46 36 69
186 39 13
657 228 57
210 631 5
327 691 2
744 465 52
741 597 3
434 174 51
547 363 55
380 667 94
196 711 88
708 379 47
487 45 73
133 71 68
322 389 66
329 501 1
117 230 97
0 140 70
66 164 48
642 718 26
196 249 71
316 234 11
535 364 71
652 386 26
526 137 82
164 637 37
237 273 50
553 661 77
576 118 86
383 423 64
443 706 37
702 521 47
74 324 25
118 693 9
312 604 43
489 268 97
646 589 65
724 712 2
498 203 48
221 262 0
17 416 60
237 707 86
44 365 51
233 473 99
287 527 58
423 145 94
487 461 20
668 121 99
720 114 69
155 141 26
631 281 2
700 558 0
28 321 46
343 550 29
276 172 18
608 677 30
627 65 95
323 647 76
668 458 96
24 660 93
342 319 98
160 222 54
533 733 35
256 441 91
218 607 72
542 475 100
477 254 45
675 29 36
729 649 21
479 709 13
119 169 67
631 63 20
174 347 75
424 665 35
530 152 87
489 400 60
315 362 57
708 504 30
724 200 36
502 128 62
499 722 22
675 48 87
264 334 69
630 407 0
709 496 19
612 464 68
709 415 72
740 282 91
119 229 62
128 643 74
327 586 56
742 70 15
600 23 6
129 9 85
145 83 82
570 447 81
332 698 3
275 385 43
569 280 93
319 653 32
489 310 93
504 636 13
167 305 56
144 426 89
133 622 2
732 127 75
598 243 85
691 278 11
708 20 96
458 257 95
593 723 89
702 632 77
231 283 73
558 737 15
499 259 90
302 251 14
218 15 49
447 238 58
645 108 8
253 401 27
727 609 46
647 162 77
348 269 61
474 182 66
733 613 58
90 546 76
428 2 38
0 136 70
332 291 68
627 31 70
374 442 5
296 410 43
19 577 5
276 51 43
359 568 5
141 429 32
609 225 30
732 725 44
689 500 63
233 673 69
570 207 22
525 272 46
381 368 68
116 168 48
489 433 68
502 452 62
507 27 36
608 540 72
261 206 58
407 544 95
461 26 3
273 564 52
229 247 67
392 486 84
178 739 89
334 616 18
583 726 60
141 396 46
739 509 34
152 325 15
723 571 75
593 37 5
491 285 21
639 75 44
347 602 82
11 588 31
184 596 77
374 594 45
373 470 44
167 53 37
427 18 34
248 78 14
745 105 23
584 284 43
332 239 6
652 522 2
39 122 5
549 664 38
197 150 100
546 713 59
585 650 0
367 32 32
331 211 3
160 601 50
414 59 33
590 298 37
667 170 64
123 112 58
639 515 12
290 621 99
661 142 79
192 50 82
344 481 45
69 6 69
142 578 53
128 572 44
147 747 24
437 360 44
251 548 42
698 391 9
253 13 69
553 138 75
281 411 46
487 748 13
620 413 81
178 339 56
601 566 39
559 190 31
508 260 4
610 662 78
15 457 29
138 307 80
506 431 16
570 135 2
317 478 59
368 33 26
26 545 72
293 440 33
374 35 67
59 514 70
507 286 6
661 394 83
233 382 86
285 38 36
442 357 98
41 592 56
703 704 46
319 736 28
509 295 33
711 710 85
122 161 15
70 529 78
208 692 91
443 99 75
238 378 97
701 219 90
647 263 2
119 67 46
530 352 96
479 191 84
464 537 70
365 699 41
647 384 17
405 575 84
445 102 92
414 556 90
465 505 26
713 618 35
321 422 24
247 697 28
