612 50
49 1 64
1 18 97
1 48 60
48 26 50
48 20 7
49 17 41
20 41 78
26 42 52
48 10 99
1 34 76
1 16 95
1 7 95
10 46 56
42 23 93
7 12 41
41 38 42
18 2 51
46 13 68
34 32 25
41 19 47
16 0 70
38 15 9
16 6 83
41 47 95
46 9 94
47 21 25
47 39 49
21 36 27
23 28 16
34 4 5
0 25 2
10 35 33
2 27 18
23 37 90
17 43 27
23 11 80
13 33 21
10 24 53
49 45 4
19 30 49
34 44 84
4 22 51
43 40 4
33 3 57
26 31 98
18 29 96
12 8 5
45 5 67
15 14 98
3 44 79
22 34 76
18 32 54
15 32 36
2 16 35
20 33 29
21 22 86
27 36 90
43 47 22
13 16 50
43 46 71
36 41 87
4 10 95
23 40 76
23 36 39
9 36 34
33 38 45
24 40 55
18 35 33
6 39 4
12 20 92
4 49 4
10 21 56
29 48 24
34 49 58
7 21 85
15 47 74
10 23 19
8 10 18
0 26 34
14 23 45
41 49 46
23 47 91
9 49 76
3 8 62
37 42 73
21 49 81
7 25 87
6 33 57
22 38 78
5 41 33
39 44 81
19 44 7
36 43 17
3 37 82
7 43 37
15 40 76
29 31 66
13 42 90
12 27 21
9 11 59
22 42 5
7 22 34
9 43 20
4 8 7
22 47 83
0 44 91
29 35 99
33 47 35
10 14 20
1 26 99
0 37 58
1 12 34
0 31 64
16 45 47
27 39 67
15 23 67
13 45 19
21 26 18
6 36 92
29 49 48
28 48 89
1 43 86
14 38 96
15 39 86
22 23 65
8 49 50
21 23 17
12 35 41
6 13 12
1 47 72
5 33 28
39 43 77
22 30 36
13 26 81
1 9 53
12 47 4
26 41 67
2 49 37
7 47 100
33 36 52
4 43 14
42 44 63
13 39 17
3 6 73
16 18 6
15 18 2
1 17 21
32 47 7
6 28 83
7 16 62
8 15 67
19 43 81
24 35 81
4 35 20
18 24 99
23 43 54
39 46 89
11 13 69
10 28 20
23 34 100
14 33 89
17 44 99
7 40 95
3 15 100
26 47 31
4 19 57
21 46 27
28 36 9
3 32 42
13 34 26
41 46 47
2 46 2
13 29 75
11 28 4
21 43 80
30 37 71
13 43 84
37 40 16
28 41 54
29 36 24
2 23 61
15 49 42
17 36 98
17 39 97
13 31 54
0 33 22
16 21 71
15 45 75
19 29 97
12 17 34
2 13 33
26 30 64
10 34 14
23 44 80
2 21 20
15 29 11
3 38 79
6 47 64
9 37 21
2 38 58
8 11 72
4 7 84
5 17 21
7 29 19
7 31 17
34 38 18
29 44 30
3 12 86
3 21 29
40 49 19
13 32 52
8 22 2
28 37 28
13 22 12
22 46 54
4 45 33
21 33 68
17 28 33
2 36 58
17 25 0
9 40 34
7 27 33
0 28 100
10 32 78
1 28 32
7 10 52
35 46 31
20 29 39
14 16 44
6 42 64
17 31 70
36 47 52
27 47 73
9 15 62
22 26 91
3 29 3
25 32 46
15 21 30
4 39 97
21 27 9
37 44 90
24 30 30
24 31 83
31 34 78
36 44 19
37 41 43
30 33 52
32 39 45
15 35 53
44 49 82
35 48 80
4 11 4
6 48 9
13 19 68
9 32 3
31 39 66
12 13 58
4 37 8
8 19 59
17 26 74
38 47 24
17 32 26
34 39 70
14 36 46
2 12 83
2 9 17
5 34 41
16 48 34
40 46 28
24 44 15
17 48 1
11 20 86
25 29 12
0 41 62
25 34 86
23 45 39
31 47 51
40 48 10
42 46 95
33 44 95
17 35 82
28 29 8
13 25 42
29 38 85
12 28 51
28 46 13
1 6 16
14 22 10
45 46 50
8 36 73
37 43 10
42 49 89
2 41 34
27 43 16
5 27 8
5 43 32
42 43 17
9 25 65
17 33 18
33 48 4
5 10 50
3 27 77
5 38 40
5 29 3
4 5 57
18 49 31
0 3 30
12 29 69
14 31 13
28 34 31
12 43 96
3 31 53
9 27 16
2 44 25
38 45 57
2 20 9
16 27 20
2 7 81
37 38 95
32 43 90
22 31 85
2 34 72
0 21 4
14 27 28
7 36 25
10 29 8
8 28 80
22 41 0
12 18 54
35 36 3
18 27 12
8 47 37
31 37 78
7 41 35
7 37 60
14 39 5
5 42 47
24 41 77
14 28 45
13 36 85
9 24 27
3 10 21
8 9 26
6 44 19
19 33 75
40 42 0
8 48 77
28 47 49
1 2 49
18 26 26
5 49 64
17 23 54
18 39 80
7 33 35
11 37 80
26 34 88
7 32 23
4 26 51
17 45 90
8 29 87
8 46 69
13 37 4
2 10 92
8 23 29
27 34 76
30 32 21
9 31 38
18 30 4
10 19 18
4 38 38
13 47 1
10 16 32
25 44 44
31 35 55
