7781 250
31 163 85
31 191 24
163 118 59
191 138 23
191 81 62
163 71 53
31 79 55
31 178 72
71 162 9
71 154 44
178 12 31
81 160 52
31 212 62
212 208 78
162 8 22
212 248 24
160 225 70
138 205 77
138 3 55
212 214 31
191 142 15
71 133 29
212 242 82
162 166 2
142 165 93
81 220 37
163 140 39
163 237 47
208 200 80
208 114 57
163 234 66
208 30 70
214 1 52
8 43 3
133 80 11
138 112 89
200 89 88
165 39 12
8 59 38
114 104 83
225 65 66
160 102 62
200 195 98
8 174 19
30 53 58
178 63 35
140 232 93
195 32 13
237 122 11
89 85 33
8 58 94
3 72 45
174 173 10
178 159 100
89 211 76
89 152 30
237 55 89
237 38 90
142 61 1
89 149 9
159 54 85
142 196 65
8 247 36
237 99 56
248 147 58
174 218 2
165 188 72
54 6 85
72 51 28
225 25 12
81 206 54
85 27 78
133 228 34
225 168 91
31 148 23
200 219 49
6 203 67
112 180 64
219 223 37
39 98 69
25 57 29
58 105 55
12 210 24
80 73 65
59 244 91
72 48 88
165 82 4
48 231 31
3 46 86
102 103 90
30 153 47
210 238 17
196 226 81
48 177 11
82 29 11
80 35 54
248 111 48
98 128 46
142 106 47
104 239 48
247 75 78
174 10 81
3 101 26
166 26 89
114 127 17
228 125 16
228 19 73
153 181 12
10 16 52
103 124 48
165 229 49
238 115 13
54 183 51
177 21 97
206 24 44
214 145 33
223 132 76
160 120 44
214 121 14
12 243 27
121 117 30
3 77 87
127 84 33
127 169 36
183 14 2
195 18 50
84 64 52
14 123 16
188 22 74
8 186 11
195 45 5
138 216 92
142 66 35
22 116 72
211 44 18
3 34 30
225 209 71
128 249 94
71 36 49
54 144 1
117 171 26
171 182 100
112 9 67
229 236 22
80 172 54
116 233 94
242 151 83
219 129 42
206 62 29
101 156 52
18 222 10
160 107 3
120 42 64
210 185 81
195 93 89
123 78 58
71 130 44
232 23 87
166 221 80
102 69 33
39 241 62
152 28 70
156 96 89
222 119 53
226 70 81
62 56 74
96 126 96
173 90 73
54 158 26
223 192 84
84 40 17
182 227 67
147 175 25
105 161 40
177 13 74
124 194 74
53 95 58
6 88 65
206 0 33
96 179 78
211 136 72
38 198 9
14 170 22
248 4 77
188 207 58
172 141 63
165 33 18
227 224 91
194 157 83
18 37 40
144 164 83
182 201 12
229 197 97
154 240 98
31 15 11
159 110 44
53 215 39
16 150 11
36 217 48
10 60 41
104 76 34
181 143 59
133 190 42
208 109 78
217 235 47
101 167 19
59 92 76
72 108 35
9 68 36
188 50 9
156 11 11
197 74 12
89 91 44
30 246 28
79 135 62
201 199 77
95 230 34
172 113 37
24 20 7
80 137 42
20 5 72
241 189 37
73 94 89
65 100 53
172 245 81
63 97 39
188 83 11
214 47 12
156 202 10
151 204 10
126 86 80
116 193 56
227 17 55
137 213 55
120 146 84
74 184 67
241 52 63
35 131 54
126 41 48
137 49 19
24 176 77
16 187 11
15 7 7
